features,preprocessing,mse,r2
"['rm', 'lstat']",none,29.2645,0.5976
"['rm', 'lstat']",standard,556.2608,-6.6496
"['rm', 'lstat']",minmax,47.635,0.3449
"['rm', 'lstat', 'rm_lstat']",none,22.0581,0.6967
"['rm', 'lstat', 'rm_lstat']",standard,542.3207,-6.4579
"['rm', 'lstat', 'rm_lstat']",minmax,26.515,0.6354
"['rm', 'lstat', 'rm_squared', 'lstat_squared']",none,23.7886,0.6729
"['rm', 'lstat', 'rm_squared', 'lstat_squared']",standard,546.0028,-6.5085
"['rm', 'lstat', 'rm_squared', 'lstat_squared']",minmax,47.2023,0.3509
"['rm', 'lstat', 'log_lstat']",none,25.3138,0.6519
"['rm', 'lstat', 'log_lstat']",standard,545.7133,-6.5046
"['rm', 'lstat', 'log_lstat']",minmax,47.5207,0.3465
"['rm', 'lstat', 'age_binned_25-50', 'age_binned_50-75', 'age_binned_75-100']",none,29.6345,0.5925
"['rm', 'lstat', 'age_binned_25-50', 'age_binned_50-75', 'age_binned_75-100']",standard,557.1023,-6.6612
"['rm', 'lstat', 'age_binned_25-50', 'age_binned_50-75', 'age_binned_75-100']",minmax,43.0052,0.4086
"['rm', 'lstat', 'rm_lstat', 'rm_squared', 'lstat_squared', 'log_lstat', 'age_binned_25-50', 'age_binned_50-75', 'age_binned_75-100']",none,18.5781,0.7445
"['rm', 'lstat', 'rm_lstat', 'rm_squared', 'lstat_squared', 'log_lstat', 'age_binned_25-50', 'age_binned_50-75', 'age_binned_75-100']",standard,540.2917,-6.43
"['rm', 'lstat', 'rm_lstat', 'rm_squared', 'lstat_squared', 'log_lstat', 'age_binned_25-50', 'age_binned_50-75', 'age_binned_75-100']",minmax,22.2707,0.6937
